Timestamp,Topic_ID,Topic_Name,Priority,Rate_Hz,Msg_Size,Live_Mbps,Admission_Status,Lossless_Verification
2026-08-03 18:09:56,1,/topic_01,P1,0.0,0 B,40.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,2,/topic_02,P1,0.0,0 B,60.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,3,/topic_03,P1,0.0,0 B,20.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,4,/topic_04,P1,0.0,0 B,80.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,5,/topic_05,P2,0.0,0 B,30.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,6,/topic_06,P2,0.0,0 B,70.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,7,/topic_07,P2,0.0,0 B,10.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,11,/topic_11,P2,0.0,0 B,10.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,9,/topic_09,P3,0.0,0 B,50.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,10,/topic_10,P3,0.0,0 B,50.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,12,/topic_12,P3,0.0,0 B,20.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,8,/topic_08,P4,0.0,0 B,90.0,BLOCKED,SHEDDED
2026-08-03 18:09:56,13,/topic_13,P4,0.0,0 B,30.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,14,/topic_14,P4,0.0,0 B,40.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,15,/topic_15,P4,0.0,0 B,50.0,ALLOWED,FULL DATA 100%
2026-08-03 18:09:56,16,/topic_16,P4,0.0,0 B,60.0,BLOCKED,SHEDDED
2026-08-03 18:09:56,17,/topic_17,P5,0.0,0 B,70.0,BLOCKED,SHEDDED
2026-08-03 18:09:56,18,/topic_18,P5,0.0,0 B,80.0,BLOCKED,SHEDDED
